track_id,spotify artist_name,spotify track_name,spotify valence,energy,i guitar,o slow,i drums,o fast,i piano,i synth,o loud,i flute,i sitar,o solo,i choir,o beats,o quiet,i no voice,i strings,i voice,i harp,g TSNE1,g TSNE2
6KpWrQV5uA86be6emruSJa,Neil Young,Speakin' Out - Live,0.344,0.3617993191254603,0.10739179,0.04135776,0.058429908,0.018323556,0.05422548,0.009293218,0.01624521,0.02032119,0.0072902148,0.008985874,0.0027792481000000003,0.0195015603,0.011585455000000001,0.041857057999999996,0.0210990131,0.190144887,0.0050495487,0.26750714,0.5464815
2gQEnWfMYSAdNA768PiV6M,Neil Young,Candy Bar Rap - Live,0.49,0.2859228945256178,0.04719068,0.043590542,0.028199041,0.00952836,0.014549506,0.008783523,0.0042146,0.01674761,0.009633942,0.007756747,0.02588767,0.0197914005,0.0249408805,0.0243030884,0.04913656599999999,0.2327434415,0.0068019160999999995,0.22352798,0.4477169
4dr7CCs0JDD9L4EEFSsvJj,Neil Young,New Mama - Live,0.9,0.2686288625417041,0.35847685,0.05448296,0.041200157,0.012674194,0.015665887,0.018674495,0.004761811,0.0014366761,0.0026296158,0.00690829,0.00085824681,0.043557641,0.014542727,0.0308932065,0.0310313065,0.11892441100000001,0.0021538972,0.24147624,0.52922827
2MK1TAxqglVFFvqZ2tGdJG,Blac Youngsta,Hip Hopper,0.514,0.6596823497323767,0.024659013,0.0033465924,0.032854788,0.015611441,0.0004090369,0.028996022,0.0073687066,0.00063975045,0.0012531022,0.0005901573,0.00014412067399999999,0.103374202,0.00048630095000000006,0.016278637800000002,0.001241007133,0.09238804395,8.970281999999999e-05,0.86957186,0.3296551
5gdXXfeCz6WthgeKkEWqb2,Neil Young,David Geffen Rap - Live,0.094,0.3092741400832808,0.08136556,0.04598936,0.025267346,0.0076289456,0.011602532,0.0071411533,0.005268176,0.0047270227,0.010420424,0.009334496,0.0112592578,0.020092143,0.025113007,0.023483810500000004,0.0345587455,0.2512243315,0.0074724588,0.22865798,0.45847303
0tdLC5lxpPcQny1Qmwk6wq,Neil Young,Roll Another Number (For the Road) - Live,0.629,0.3991464128023919,0.10229563,0.017791413,0.048793748,0.0051229815,0.023990631,0.0054759514,0.01185757,0.00046190724,0.00279648,0.0040550847,0.00051812029,0.0060243471,0.0028645458,0.0117762466,0.00557206477,0.252077156,0.0014232157,0.44632968,0.7363776
0Psl1ad7qufqdWBBS0I1kP,Neil Young,Tired Eyes - Live,0.135,0.3412428659901357,0.110606834,0.09692282,0.043348346,0.0067796116,0.05947501,0.010821772,0.01378794,0.0024437353,0.004622706,0.002087717,0.0016581773299999998,0.0109143055,0.0143622972,0.021668717299999998,0.014840563499999999,0.2015977675,0.0012935174300000001,0.32557082,0.64427185
0UTgsOhHT4kljCadP6MCkO,Neil Young,Walk On - Live,0.708,0.4411410819328769,0.1306337,0.015687685,0.09271815,0.010015459,0.039299894,0.0054320013,0.020960458,0.009645471,0.0110995015,0.0040837,0.001553404,0.007390156399999999,0.00442053277,0.0243895115,0.02008765437,0.17712432449999999,0.0019832747,0.30016088,0.6615885
4w55Dj6c2XGi8Ibgmz5iUV,Neil Young,Tonight's the Night - Pt. II Live,0.505,0.4664638144322527,0.14832562,0.015269468,0.11451718,0.018577043,0.027993983,0.00850332,0.015051373,0.00082770514,0.009055076,0.00091114367,9.7739304e-05,0.0159612997,0.00199583297,0.0263705637,0.00519639258,0.11609409905,0.00038829381,0.45387462,0.77734643
32fKLIA0PYwEJ5cPfda8HB,Neil Young,Outro - Live,0.0385,0.3586107917440722,0.02804731,0.026921999,0.026055068,0.006857535,0.009308207,0.0056728465,0.005283284,0.0038593502,0.004012562,0.005101187,0.015538165,0.013109718999999999,0.031358359,0.015910634200000003,0.0348752903,0.2970925335,0.0109619437,0.2181305,0.45863235
6K2DEAxxbtp7yAsvqYzgOn,The Swon Brothers,What Ever Happened,0.525,0.6142395117792868,0.055254832,0.0009671077,0.061173443,0.052436255,0.001905216,0.010164365,0.046234224,4.877598e-05,0.0019182216,9.0055306e-05,1.16065335e-05,0.0398333048,9.4524555e-05,0.010731421000000001,0.0009005664425000001,0.15175030585,1.19044039e-05,0.5087672,0.8227023
